0.4,0.22,0.02,0.02,-144.68,-0.4708,-0.52915,0.7538,0.71869,0.74419,0.65306,0.72
0.4,0.22,0.02,0.04,-135.19,-0.46381,-0.51478,0.7552,0.73399,0.75281,0.68367,0.735
0.4,0.22,0.02,0.06,-129.31,-0.45858,-0.51478,0.7552,0.73399,0.75281,0.68367,0.735
0.4,0.22,0.02,0.08,-125.13,-0.45419,-0.51478,0.7576,0.73399,0.75281,0.68367,0.735
0.4,0.22,0.02,0.1,-122.04,-0.45045,-0.51478,0.7578,0.73399,0.75281,0.68367,0.735
0.4,0.22,0.02,0.12,-119.7,-0.44729,-0.51478,0.7578,0.73399,0.75281,0.68367,0.735
0.4,0.22,0.02,0.14,-117.94,-0.44465,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.16,-116.64,-0.44253,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.18,-115.71,-0.44089,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.2,-115.09,-0.43973,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.22,-114.73,-0.43904,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.24,-114.62,-0.43881,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.26,-114.71,-0.43904,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.28,-115,-0.43973,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.3,-115.47,-0.44086,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.32,-116.11,-0.44244,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.34,-116.91,-0.44446,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.36,-117.87,-0.44691,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.38,-118.99,-0.44978,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.4,-120.25,-0.45307,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.42,-121.67,-0.45677,-0.5099,0.7578,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.44,-123.25,-0.46087,-0.5099,0.7575,0.7391,0.75556,0.69388,0.74
0.4,0.22,0.02,0.46,-124.98,-0.46535,-0.51478,0.72979,0.73399,0.75281,0.68367,0.735
0.4,0.22,0.02,0.48,-126.88,-0.47022,-0.56569,0.72979,0.67567,0.80357,0.45918,0.68
0.4,0.22,0.02,0.5,-128.94,-0.47545,-0.7,0.72979,0.5,NaN,0,0.51
0.4,0.22,0.02,0.52,-131.19,-0.48104,-0.7,0.72979,0.5,NaN,0,0.51
0.4,0.22,0.02,0.54,-133.62,-0.48698,-0.7,0.72979,0.5,NaN,0,0.51
0.4,0.22,0.02,0.56,-136.25,-0.49325,-0.7,0.72979,0.5,NaN,0,0.51
0.4,0.22,0.02,0.58,-139.1,-0.49986,-0.7,0.72979,0.5,NaN,0,0.51
0.4,0.22,0.02,0.6,-142.18,-0.50678,-0.7,0.72979,0.5,NaN,0,0.51
0.4,0.22,0.02,0.62,-145.52,-0.51401,-0.7,0.73229,0.5,NaN,0,0.51
0.4,0.22,0.02,0.64,-149.13,-0.52154,-0.7,0.73289,0.5,NaN,0,0.51
0.4,0.22,0.02,0.66,-153.05,-0.52936,-0.7,0.73289,0.5,NaN,0,0.51
0.4,0.22,0.02,0.68,-157.31,-0.53746,-0.7,0.73289,0.5,NaN,0,0.51
0.4,0.22,0.02,0.7,-161.96,-0.54584,-0.7,0.73289,0.5,NaN,0,0.51
0.4,0.22,0.02,0.72,-167.05,-0.55449,-0.7,0.73289,0.5,NaN,0,0.51
0.4,0.22,0.02,0.74,-172.63,-0.5634,-0.7,0.73289,0.5,NaN,0,0.51
0.4,0.22,0.02,0.76,-178.79,-0.57256,-0.7,0.739,0.5,NaN,0,0.51
0.4,0.22,0.02,0.78,-185.63,-0.58196,-0.7,0.7401,0.5,NaN,0,0.51
0.4,0.22,0.02,0.8,-193.27,-0.59161,-0.7,0.7401,0.5,NaN,0,0.51
0.4,0.22,0.02,0.82,-201.88,-0.60148,-0.7,0.7401,0.5,NaN,0,0.51
0.4,0.22,0.02,0.84,-211.68,-0.61158,-0.7,0.7401,0.5,NaN,0,0.51
0.4,0.22,0.02,0.86,-222.99,-0.6219,-0.7,0.7401,0.5,NaN,0,0.51
0.4,0.22,0.02,0.88,-236.25,-0.63241,-0.7,0.7401,0.5,NaN,0,0.51
0.4,0.22,0.02,0.9,-252.15,-0.64312,-0.7,0.7401,0.5,NaN,0,0.51
0.4,0.22,0.02,0.92,-271.82,-0.65399,-0.7,0.7406,0.5,NaN,0,0.51
0.4,0.22,0.02,0.94,-297.28,-0.66497,-0.7,0.73589,0.5,NaN,0,0.51
0.4,0.22,0.02,0.96,-332.6,-0.67594,-0.7,0.71979,0.5,NaN,0,0.51
0.4,0.22,0.02,0.98,-385.44,-0.68615,-0.7,0.62035,0.5,NaN,0,0.51
0.4,0.22,0.04,0.02,-141.14,-0.4721,-0.55227,0.7409,0.69298,0.73418,0.59184,0.695
0.4,0.22,0.04,0.04,-133.06,-0.46468,-0.52915,0.7538,0.71869,0.74419,0.65306,0.72
