resources,learns,forgets
page_view,0.0184750610974563,0.172000614814775
video_play,0.0117373877270932,0.100247530371298
page_close,0.0115889707514938,0.0779452712860666
video_pause,0.0136122219691957,0.443266903492332
wiki_view,0.0219416160454388,0.204311426567715
seq_goto,0.0245694245538481,0.0224365417648795
problem_view,0.0032783731499511,0.120828556955301
problem_check,0.0487796166700733,0.0409820816548819
seq_next,0.017221321949781,0.391124263329155
forum_view_inline,0.126365543568104,0.168460065711207
forum_view,0.0063645948201028,0.00164925727932843
problem_save,0.181846200291024,0.00930612733178809
seq_prev,0.0472971098445337,0.0171621532217399
forum_create,0.00167137500295122,0.147188629705947
forum_upvote,0.00278371055140069,0.0424062899187416
forum_search,0.176196113677823,0.0407291206758462
forum_reply,0.000334431321914008,0.170153412206691
forum_view_user_profile,0.00279687421274425,0.346053009408399
forum_unvote,1.72350033555483e-07,0.326626030654011
forum_follow,0.933202113613935,0.000333799906661664
forum_update,0.00104059916632023,0.761489183276247
forum_view_followed_threads,0.000144663434025162,0.0566211461609535
forum_unfollow,0.0941747642509612,0.0487294414608633
forum_delete,0.0697634903124301,0.109033004177269
forum_endorse,5.69522433634104e-22,1
