questions,guesses,slips
Week 1,0.00214044092550554,0.475959119786615
Week 2,1.94004686828477e-06,0.498449942500165
Week 3,0.410671416145433,0.418450084652734
Week 4,0.415210833800371,0.341993231976366
Week 5,0.5,0.5
