resources,learns,forgets
page_view,0.0131717932467937,0.0799348768420879
video_play,0.0211881341388387,0.227040887151578
page_close,0.00884577392967225,0.100666973990575
wiki_view,0.04829735960684,0.228669499541793
video_pause,0.0090479013886717,0.336746984066421
seq_goto,0.00745483808638845,0.024272814916386
problem_view,0.0104377028286268,0.0624816422715084
problem_check,0.0499813077634735,0.0499962286097736
seq_next,0.00785892821313555,0.353669078730263
seq_prev,0.0515539027335846,0.00655403570574683
